manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,05.10.2018,74442,103.0,11.35,Electricity,Summer tires,0,1,0,Moderate,12.4,0,0,70.0,-4.4,
Volkswagen,Golf,e-Golf,85,04.10.2018,74339,72.0,13.2,Electricity,Summer tires,0,1,0,Normal,14.0,0,0,76.0,-2.8000000000000007,
Volkswagen,Golf,e-Golf,85,04.10.2018,74267,72.0,8.93,Electricity,Summer tires,0,1,0,Normal,14.2,0,1,77.0,-2.6000000000000014,
Volkswagen,Golf,e-Golf,85,04.10.2018,74195,49.0,7.26,Electricity,Summer tires,0,1,1,Normal,13.9,0,0,68.0,-2.9000000000000004,
Volkswagen,Golf,e-Golf,85,03.10.2018,74146,22.0,12.96,Electricity,Summer tires,1,0,0,Normal,12.2,0,0,32.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,03.10.2018,74124,100.0,2.79,Electricity,Summer tires,0,1,1,Normal,14.6,0,0,53.0,-2.200000000000001,
Volkswagen,Golf,e-Golf,85,30.09.2018,74024,16.0,13.51,Electricity,Summer tires,0,1,0,Fast,17.2,0,0,71.0,0.3999999999999986,
Volkswagen,Golf,e-Golf,85,30.09.2018,74008,111.0,4.8,Electricity,Summer tires,0,1,0,Normal,12.8,0,0,89.0,-4.0,
Volkswagen,Golf,e-Golf,85,30.09.2018,73897,98.0,13.0,Electricity,Summer tires,0,1,0,Normal,12.5,0,0,64.0,-4.300000000000001,
Volkswagen,Golf,e-Golf,85,30.09.2018,73799,29.0,9.39,Electricity,Summer tires,0,1,0,Normal,13.2,0,0,100.0,-3.6000000000000014,
Volkswagen,Golf,e-Golf,85,30.09.2018,73770,107.0,6.24,Electricity,Summer tires,0,1,1,Normal,13.0,0,0,78.0,-3.8000000000000007,
Volkswagen,Golf,e-Golf,85,29.09.2018,73663,63.0,13.98,Electricity,Summer tires,0,1,1,Normal,12.4,0,0,67.0,-4.4,
Volkswagen,Golf,e-Golf,85,29.09.2018,73600,18.0,2.23,Electricity,Summer tires,0,0,1,Moderate,17.0,0,0,48.0,0.1999999999999993,
Volkswagen,Golf,e-Golf,85,29.09.2018,73582,71.0,3.75,Electricity,Summer tires,0,0,1,Moderate,12.8,0,0,75.0,-4.0,
Volkswagen,Golf,e-Golf,85,28.09.2018,73511,75.0,9.82,Electricity,Summer tires,0,0,1,Moderate,13.1,0,0,41.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,27.09.2018,73436,32.0,9.78,Electricity,Summer tires,0,1,0,Moderate,11.4,0,0,65.0,-5.4,
Volkswagen,Golf,e-Golf,85,27.09.2018,73404,118.0,3.41,Electricity,Summer tires,0,1,0,Moderate,12.1,0,0,67.0,-4.700000000000001,
Volkswagen,Golf,e-Golf,85,27.09.2018,73286,95.0,13.76,Electricity,Summer tires,0,0,1,Moderate,12.2,0,0,59.0,-4.600000000000001,
Volkswagen,Golf,e-Golf,85,27.09.2018,73191,63.0,13.76,Electricity,Summer tires,0,1,0,Normal,14.5,0,0,96.0,-2.3000000000000007,
Volkswagen,Golf,e-Golf,85,27.09.2018,73128,99.0,9.7,Electricity,Summer tires,0,1,0,Normal,13.1,0,0,78.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,27.09.2018,73029,37.0,9.2,Electricity,Summer tires,0,1,0,Moderate,13.6,0,0,56.0,-3.200000000000001,
Volkswagen,Golf,e-Golf,85,26.09.2018,72992,71.0,7.62,Electricity,Summer tires,0,1,0,Moderate,11.8,0,0,77.0,-5.0,
Volkswagen,Golf,e-Golf,85,26.09.2018,72921,101.0,14.51,Electricity,Summer tires,0,1,0,Moderate,13.0,0,0,69.0,-3.8000000000000007,
Volkswagen,Golf,e-Golf,85,25.09.2018,72820,72.0,13.99,Electricity,Summer tires,0,1,0,Moderate,12.0,0,0,69.0,-4.800000000000001,
Volkswagen,Golf,e-Golf,85,25.09.2018,72748,100.0,11.35,Electricity,Summer tires,0,1,0,Moderate,13.3,0,0,70.0,-3.5,
Volkswagen,Golf,e-Golf,85,24.09.2018,72648,72.0,9.9,Electricity,Summer tires,0,1,0,Moderate,13.1,0,0,67.0,-3.700000000000001,
